Age,Gender,Sexuality,Ethnicity,EdLevel,CompanySize,Country,Employment,DevType(Position),Currency,CurrencySymbol,Salary,SalaryFreq,DollarizedSalary,YearsCode,YearsCodePro,OperatingSystem,DatabaseWantToWorkWith,DatabaseHaveWorkedWith,FrameworkWantToWorkWith,FrameworkHaveWorkedWith,LanguageWantToWorkWith,LanguageHaveWorkedWith,PlatformWantToWorkWith,PlatformHaveWorkedWith,SurveyYear
25-34 years old,Man,Bisexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,India,"Employed, full-time","Developer, full-stack;Developer, mobile;Engineering manager",Indian rupee,INR,10650000.0,Yearly,137355.0,6,4,Linux-based;macOS;Windows,DynamoDB;PostgreSQL;Redis,DynamoDB;PostgreSQL;Redis;SQLite,Fastify;Node.js;Vue.js,Express;Fastify;Next.js;Node.js;React.js,HTML/CSS;JavaScript;Kotlin;Swift;TypeScript,HTML/CSS;JavaScript;Kotlin;Objective-C;TypeScript,AWS;Google Cloud,AWS;DigitalOcean;Google Cloud,2022
35-44 years old,Man,Straight / Heterosexual,White;South Asian;Multiracial,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Engineer, site reliability;Developer, full-stack;Cloud infrastructure engineer;System administrator",United States dollar,USD,180000.0,Yearly,180000.0,20,12,macOS,PostgreSQL;Redis,PostgreSQL;Redis,Deno;Node.js;Vue.js,Gatsby;Node.js;React.js,Bash/Shell;Go;Rust,Bash/Shell;Go;JavaScript;SQL;TypeScript,DigitalOcean;Linode,AWS;DigitalOcean,2022
25-34 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, full-stack;Developer, desktop or enterprise applications",United States dollar,USD,113000.0,Yearly,113000.0,18,12,Linux-based;Windows,,PostgreSQL,,,C#;Dart;Kotlin;Lua;Python;Rust,Bash/Shell;C#;Python,,,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",Canada,"Employed, full-time","Developer, full-stack;Developer, desktop or enterprise applications",Canadian dollar,CAD,130000.0,Yearly,101509.0,15,13,Windows,Microsoft SQL Server,Microsoft SQL Server,ASP.NET Core ;Blazor;React.js,ASP.NET;ASP.NET Core ;Blazor,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft Azure,Microsoft Azure,2022
Under 18 years old,"Non-binary, genderqueer, or gender non-conforming",Bisexual,Middle Eastern,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Canada,"Student, full-time",,,,,,,6,,Linux-based,,,Svelte;Vue.js,React.js,C;C++;Crystal;Rust;TypeScript,Bash/Shell;C;HTML/CSS;JavaScript;Lua;Python;TypeScript,,,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Canada,"Student, full-time",,,,,,,6,,Linux-based,Cloud Firestore;IBM DB2;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Firebase Realtime Database;SQLite,PostgreSQL;SQLite,,,Assembly;C;C++;Go;Java;JavaScript;Kotlin;MATLAB;Python;Rust,C;C++;HTML/CSS;Python;Rust,AWS;Firebase;Google Cloud;IBM Cloud or Watson;Microsoft Azure;Oracle Cloud Infrastructure,Google Cloud,2022
25-34 years old,Man,Straight / Heterosexual,Prefer not to say,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,Canada,"Employed, full-time","Developer, full-stack",Canadian dollar,CAD,67000.0,Yearly,52316.0,10,4,Linux-based,PostgreSQL,PostgreSQL;Redis,Ruby on Rails;Vue.js,Node.js;React.js;Ruby on Rails;Vue.js,Bash/Shell;C;C++;Python;Ruby;Rust,Bash/Shell;C;C++;Java;JavaScript;Python;Ruby;Rust;SQL;TypeScript,AWS,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,USA,"Employed, part-time",,,,,,,3,,Linux-based;Windows,MariaDB;Redis;SQLite,MariaDB;SQLite,,,C#;JavaScript;Rust;TypeScript,Go;HTML/CSS;JavaScript;Lua;Rust,AWS;Colocation,AWS;Colocation;Google Cloud,2022
25-34 years old,Man,Straight / Heterosexual,White;Southeast Asian;Biracial,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices",United States dollar,USD,185000.0,Yearly,185000.0,11,5,,SQLite,Microsoft SQL Server;SQLite,React.js,Angular;Angular.js;Node.js;React.js,Clojure;Go,Bash/Shell;Java;JavaScript;Kotlin;Python;SQL;TypeScript,,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, back-end",United States dollar,USD,1050000.0,Yearly,1050000.0,19,10,Linux-based,,,,,Rust;Swift,C;C++;Rust,,,2022
18-24 years old,Man,Straight / Heterosexual,White;Biracial,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;System administrator",United States dollar,USD,110000.0,Yearly,110000.0,7,3,Linux-based;Windows,MongoDB;PostgreSQL,Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL,ASP.NET Core ;Vue.js,ASP.NET Core ;Blazor;Vue.js,C#,Bash/Shell;C#;Java;JavaScript,DigitalOcean,AWS;DigitalOcean;Microsoft Azure;VMware,2022
25-34 years old,Man,Straight / Heterosexual,European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",Germany,"Employed, full-time","Developer, front-end;Developer, desktop or enterprise applications",European Euro,EUR,75600.0,Yearly,80623.0,6,3,macOS,MongoDB;MySQL;SQLite,MongoDB;MySQL;Redis;SQLite,Angular;Express;Node.js;Vue.js,Express;jQuery;Node.js;Vue.js,Bash/Shell;JavaScript;Lua;Rust;TypeScript,Bash/Shell;JavaScript;Swift;TypeScript,,,2022
55-64 years old,Man,Straight / Heterosexual,White;European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,USA,"Independent contractor, freelancer, or self-employed","Data scientist or machine learning specialist;Engineer, data;Developer, back-end;System administrator",United States dollar,USD,120000.0,Monthly,1440000.0,40,35,Windows,MariaDB;MySQL,MariaDB;MySQL,,,Groovy;JavaScript;Python;SQL,Bash/Shell;Groovy;Java;SQL,,,2022
25-34 years old,Woman,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, embedded applications or devices",United States dollar,USD,500000.0,Yearly,500000.0,13,9,Linux-based,PostgreSQL,PostgreSQL,,,Haskell;Julia;OCaml;Rust;Scala,Bash/Shell;C;C++;Go;MATLAB;Python;Rust;Scala;SQL,Linode,AWS;Linode,2022
25-34 years old,Man,Straight / Heterosexual;Prefer to self-describe:,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",United States dollar,USD,110000.0,Yearly,110000.0,10,5,Linux-based;Windows,MongoDB,MongoDB,React.js,React.js,Java;LISP;Rust;TypeScript,Java;Lua;Rust;TypeScript,,,2022
25-34 years old,Man,Queer,White,"Other doctoral degree (Ph.D., Ed.D., etc.)",20 to 99 employees,Canada,"Employed, full-time;Employed, part-time","Data scientist or machine learning specialist;Developer, back-end;Academic researcher",Canadian dollar,CAD,100000.0,Yearly,78084.0,15,3,Linux-based,,PostgreSQL,,,Haskell;Julia;Rust,Bash/Shell;Julia;Rust;SQL,Google Cloud,AWS;Google Cloud,2022
Under 18 years old,Man,Gay or Lesbian,Indian;South Asian,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,India,"Student, full-time",,,,,,,10,,,PostgreSQL,MongoDB;MySQL;PostgreSQL,Deno;FastAPI;Next.js;Svelte,Angular;Deno;Svelte,C#;Dart;HTML/CSS;JavaScript;Julia;Kotlin;Python;Rust;SQL;TypeScript,C#;Dart;HTML/CSS;JavaScript;Julia;Kotlin;Python;Rust;SQL;TypeScript,,,2022
25-34 years old,Man,Gay or Lesbian,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,UK,"Employed, full-time","Developer, full-stack",Pound sterling,GBP,,,,8,5,macOS;Windows Subsystem for Linux (WSL),CouchDB;MySQL;Neo4j,Elasticsearch;MySQL;PostgreSQL;Redis,Laravel;Next.js;Node.js;React.js,Express;Gatsby;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React.js;Svelte;Symfony;Vue.js,JavaScript;Kotlin;PHP;SQL;TypeScript,Bash/Shell;Go;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,AWS;DigitalOcean;Google Cloud,AWS;DigitalOcean;Google Cloud;Managed Hosting;OVH,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Database administrator;DevOps specialist;Project manager;Cloud infrastructure engineer;Data or business analyst;Product manager;System administrator",United States dollar,USD,100000.0,Yearly,100000.0,25,15,Windows,,Microsoft SQL Server,Blazor,ASP.NET;ASP.NET Core ;Express;jQuery;Node.js;React.js,,Bash/Shell;C#;HTML/CSS;JavaScript;SQL;TypeScript,,AWS;Google Cloud;VMware,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,Germany,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end",European Euro,EUR,63000.0,Yearly,67186.0,8,2,Linux-based,MySQL;PostgreSQL,MySQL,Angular;React.js,Angular,Bash/Shell;Java;SQL,Bash/Shell;Java;SQL,,,2022
25-34 years old,Man,Straight / Heterosexual,South Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, full-stack;Developer, back-end",United States dollar,USD,100000.0,Yearly,100000.0,9,3,Linux-based;macOS;Windows Subsystem for Linux (WSL),Cassandra;Couchbase;Cloud Firestore;DynamoDB;MariaDB;Neo4j;PostgreSQL,Cloud Firestore;DynamoDB;PostgreSQL,Next.js;Node.js;Nuxt.js;Phoenix;React.js;Vue.js,ASP.NET Core ;Next.js;Node.js;React.js,Elixir;Java;JavaScript;Kotlin;Python;Rust;Solidity;SQL;TypeScript,Java;JavaScript;Python;SQL;TypeScript,AWS;DigitalOcean;Firebase,AWS;DigitalOcean;Firebase,2022
18-24 years old,Man,Straight / Heterosexual,Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, embedded applications or devices",United States dollar,USD,104750.0,Yearly,104750.0,5,1,Linux-based,,,,,Rust,C;C++;Python;SQL,,,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",Germany,"Employed, full-time","Developer, embedded applications or devices;Security professional",European Euro,EUR,60000.0,Yearly,63986.0,12,5,Linux-based;Windows,SQLite,SQLite,,,C;C++;Python;Rust,Assembly;Bash/Shell;C;C++;HTML/CSS;Python;Rust,,,2022
25-34 years old,Man,Straight / Heterosexual,European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,Germany,"Employed, full-time","Developer, back-end;Developer, embedded applications or devices",European Euro,EUR,,Monthly,,8,3,Linux-based;Windows,SQLite,SQLite,,,C++;Java,C#;C++;Java;Python,,,2022
35-44 years old,"Woman;Non-binary, genderqueer, or gender non-conforming",Bisexual;Queer,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, part-time","Developer, embedded applications or devices",United States dollar,USD,620000.0,Yearly,620000.0,30,18,Linux-based,,,,,Rust,Bash/Shell;C;C++;Go;Python;Rust,,Google Cloud,2022
45-54 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, front-end;Developer, full-stack",United States dollar,USD,140000.0,Yearly,140000.0,21,14,macOS,MongoDB;MySQL;PostgreSQL;SQLite,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Django;Gatsby;jQuery;React.js;Ruby on Rails,Angular;Angular.js;Express;Gatsby;jQuery;Next.js;Node.js;React.js;Ruby on Rails,HTML/CSS;JavaScript;Ruby;TypeScript,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;TypeScript;VBA,,AWS;DigitalOcean;Firebase;Heroku;Linode,2022
Under 18 years old,"Non-binary, genderqueer, or gender non-conforming",Bisexual;Queer,White;North American,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,USA,"Student, full-time",,,,,,,7,,,SQLite,SQLite,Flask;Svelte,Flask;React.js;Svelte,Assembly;Kotlin;Python;Rust,C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;TypeScript,,,2022
35-44 years old,Man,Straight / Heterosexual,White;European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,UK,"Employed, full-time","Senior Executive (C-Suite, VP, etc.)",Pound sterling,GBP,300000.0,Yearly,376918.0,20,Less than 1 year,Windows,,Microsoft SQL Server,,,Rust,Python;Rust;SQL;VBA,,DigitalOcean;Microsoft Azure,2022
18-24 years old,Man,Bisexual,White,Some college/university study without earning a degree,"10,000 or more employees",USA,"Employed, full-time",System administrator,United States dollar,USD,,,,3,1,macOS,,,,,Bash/Shell;PowerShell;Python;Rust;Swift,Bash/Shell;HTML/CSS;PHP;PowerShell;Python;Swift,,,2022
18-24 years old,Man,Straight / Heterosexual,South Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",India,"Employed, full-time","Developer, front-end",Indian rupee,INR,800000.0,Yearly,10318.0,4,Less than 1 year,Windows,,,Angular,Angular,C++;Dart;HTML/CSS;JavaScript;TypeScript,C++;HTML/CSS;JavaScript;TypeScript,,,2022
18-24 years old,Man,Straight / Heterosexual,Asian;Southeast Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,UK,"Student, full-time",,,,,,,5,,Windows;Windows Subsystem for Linux (WSL),MongoDB,MongoDB;SQLite,Node.js,Django;Flask;Node.js;React.js;Vue.js,Java;Python,Assembly;C;Haskell;HTML/CSS;Java;JavaScript;Python;R;SQL;VBA,,AWS;Heroku;Microsoft Azure,2022
18-24 years old,"Woman;Non-binary, genderqueer, or gender non-conforming",Gay or Lesbian,Hispanic or Latino/a,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,Colombia,"Employed, full-time;Student, part-time","Developer, full-stack;Student;Developer, mobile;Developer, game or graphics",,,,,,10,,macOS;Windows;Windows Subsystem for Linux (WSL),MongoDB,MongoDB,FastAPI;Next.js;React.js,FastAPI;Next.js;Nuxt.js;React.js,Rust,HTML/CSS;Java;JavaScript;Python;Rust,,AWS,2022
25-34 years old,Man,Prefer not to say,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end",United States dollar,USD,100000.0,Yearly,100000.0,10,7,Windows,Microsoft SQL Server,Microsoft SQL Server,Angular;Angular.js;ASP.NET Core ;Blazor,Angular;Angular.js;ASP.NET;ASP.NET Core ,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,AWS;Firebase;Google Cloud;Microsoft Azure,Microsoft Azure,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end",United States dollar,USD,,,,21,21,macOS,MongoDB;MySQL,MongoDB;MySQL;PostgreSQL,Next.js;Node.js,Angular.js;jQuery;Node.js;Vue.js,JavaScript,JavaScript;PHP;Python,AWS,AWS,2022
25-34 years old,Man,Prefer not to say,Prefer not to say,Some college/university study without earning a degree,"10,000 or more employees",USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,125000.0,Yearly,125000.0,10,6,Linux-based,Cassandra;PostgreSQL;Redis,PostgreSQL;Redis,Deno,Deno;React.js;Vue.js,Elixir;Go;Rust,Bash/Shell;C;C++;Elixir;Go;JavaScript;Rust;TypeScript,Colocation;VMware,AWS;Colocation;DigitalOcean;VMware,2022
35-44 years old,Man,Straight / Heterosexual,White;North American,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, front-end;Developer, full-stack",United States dollar,USD,,,,40,16,Windows;Windows Subsystem for Linux (WSL),MySQL,MySQL,jQuery;Symfony,jQuery;Symfony,HTML/CSS;JavaScript;PHP;SQL,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL,Managed Hosting,Managed Hosting,2022
18-24 years old,Man,Straight / Heterosexual,White;Ethnoreligious group,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, back-end;Developer, embedded applications or devices",United States dollar,USD,160000.0,Yearly,160000.0,10,6,Windows;Windows Subsystem for Linux (WSL),,,,,C;Rust,Assembly;Bash/Shell;C;C++;PowerShell;Rust,Microsoft Azure,Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, back-end",United States dollar,USD,123141.0,Yearly,123141.0,10,5,macOS,DynamoDB,Elasticsearch;MariaDB,,Next.js;Node.js;React.js,Kotlin,Java;Kotlin;VBA,,,2022
35-44 years old,Man,Straight / Heterosexual,White;European,Some college/university study without earning a degree,100 to 499 employees,UK,"Employed, full-time","Developer, full-stack",Pound sterling,GBP,65000.0,Yearly,81666.0,25,7,macOS,,DynamoDB;MongoDB;MySQL,Svelte,Express;jQuery;Laravel;Node.js;React.js,Rust;Swift,C#;HTML/CSS;JavaScript;Kotlin;Perl;PHP;TypeScript,,AWS;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White,"Associate degree (A.A., A.S., etc.)",,USA,"Employed, full-time;Student, part-time",Student,,,,,,5,,Windows,Microsoft SQL Server,Microsoft SQL Server,ASP.NET,ASP.NET,C#;HTML/CSS;JavaScript;SQL,C;C#;C++;HTML/CSS;JavaScript;Python;SQL,,,2022
,Man,Straight / Heterosexual,Hispanic or Latino/a,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,USA,"Student, full-time",,,,,,,8,,,Redis,Redis,Express;Node.js;Svelte,Express;Node.js;Svelte,Bash/Shell;Go;HTML/CSS;Lua;Python;Rust;TypeScript,Bash/Shell;C;C#;C++;Go;Haskell;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript,,,2022
25-34 years old,Prefer not to say,Prefer not to say,Prefer not to say,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,USA,"Employed, full-time","Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications",United States dollar,USD,70000.0,Yearly,70000.0,8,4,Linux-based;Windows;Windows Subsystem for Linux (WSL),,,,,C++;Python;Rust,C++;Python,,Microsoft Azure,2022
35-44 years old,Man,,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,USA,"Not employed, but looking for work","Developer, back-end",,,,,,9,,Linux-based;macOS,PostgreSQL,PostgreSQL,,,Elixir;F#;Haskell;OCaml;Rust;Scala,Groovy;Java,,AWS,2022
25-34 years old,Man,Straight / Heterosexual,Prefer not to say,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",UK,"Independent contractor, freelancer, or self-employed","Developer, mobile",Pound sterling,GBP,,,,6,6,macOS,,,,,Swift,Swift,,,2022
Under 18 years old,Man,Straight / Heterosexual,Indian,Primary/elementary school,,India,"Student, full-time",,,,,,,2,,,Cloud Firestore;Firebase Realtime Database;SQLite,Cloud Firestore;MySQL;PostgreSQL;Firebase Realtime Database;Redis;SQLite,,Django;Flask,Bash/Shell;C;C#;C++;SQL;Swift,C;C#;HTML/CSS;JavaScript;Python;SQL;Swift,Firebase;Heroku,Firebase;Heroku,2022
35-44 years old,Man,Straight / Heterosexual,White,"Associate degree (A.A., A.S., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,170000.0,Yearly,170000.0,22,18,macOS,,MariaDB,,Next.js;Node.js;React.js,C#,JavaScript;PHP;TypeScript,,,2022
18-24 years old,Man,Prefer not to say,White;European,Some college/university study without earning a degree,,UK,"Student, full-time",,,,,,,8,,,,MySQL,,Flask,Java;Kotlin;Python;Rust;Scala,HTML/CSS;Java;JavaScript;Python,Google Cloud,Google Cloud,2022
18-24 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, desktop or enterprise applications",United States dollar,USD,220000.0,Weekly,11000000.0,11,2,macOS,,,,,Haskell;OCaml;Python;Rust,Bash/Shell;C;C++;Java;JavaScript;Python;Rust;SQL,,,2022
25-34 years old,Man,Straight / Heterosexual,"White;Or, in your own words:","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",Canada,"Employed, full-time","Engineer, data;Developer, back-end;Developer, QA or test;Data or business analyst;Product manager",Canadian dollar,CAD,91800.0,Yearly,71681.0,8,4,Windows,Microsoft SQL Server,Microsoft SQL Server,,,HTML/CSS;PowerShell;Python;R;SQL,Bash/Shell;HTML/CSS;PowerShell;Python;SQL;VBA,Microsoft Azure,Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,European,Some college/university study without earning a degree,,Germany,"Student, part-time",,,,,,,3,,Windows;Windows Subsystem for Linux (WSL),MongoDB;Redis,Microsoft SQL Server,ASP.NET Core ;Blazor;Vue.js,ASP.NET Core ,C#;C++;Lua;Rust;TypeScript,C#;C++,,,2022
25-34 years old,Man,Straight / Heterosexual,Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,Germany,"Employed, full-time","Developer, back-end",European Euro,EUR,62000.0,Yearly,66119.0,3,2,Linux-based;macOS,PostgreSQL;Redis,PostgreSQL;Redis,FastAPI;Ruby on Rails,Django,Clojure;Go;Ruby;Rust;SQL,Go;HTML/CSS;Python;SQL,AWS;Firebase;Google Cloud,AWS;Firebase,2022
18-24 years old,Woman,Gay or Lesbian,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,80000.0,Yearly,80000.0,8,Less than 1 year,Windows,PostgreSQL;SQLite,PostgreSQL;SQLite,,,C#;Crystal;Java;SQL,C#;Crystal;Java;Python;SQL,,,2022
35-44 years old,Man,Straight / Heterosexual,White;European,"Other doctoral degree (Ph.D., Ed.D., etc.)",2 to 9 employees,Germany,"Employed, part-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Developer, embedded applications or devices;Developer, game or graphics",European Euro,EUR,2500.0,Monthly,31992.0,28,12,Linux-based,,PostgreSQL;SQLite,,,Rust,Bash/Shell;Dart;JavaScript;Kotlin;Python;Rust,,,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",India,"Employed, full-time","Developer, front-end;Developer, full-stack",Indian rupee,INR,3000000.0,Yearly,38692.0,6,4,macOS,MySQL;Redis,MariaDB;MySQL,Next.js;React.js,Next.js;React.js,JavaScript;Rust;TypeScript,JavaScript;Rust;TypeScript,,Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,USA,"Employed, full-time;Student, part-time","Developer, back-end",,,,,,5,,macOS,Cloud Firestore;MariaDB,Cloud Firestore;MariaDB,Node.js;React.js,Laravel;Node.js;React.js;Vue.js,Bash/Shell;Kotlin;Python;TypeScript,Bash/Shell;Java;JavaScript;Kotlin;PHP;Python;TypeScript,Heroku;Microsoft Azure,Heroku;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,Germany,"Employed, full-time","Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",European Euro,EUR,60000.0,Monthly,767832.0,17,10,macOS;Windows Subsystem for Linux (WSL),,,React.js;Vue.js,Flask;React.js;Vue.js,C++;TypeScript,Bash/Shell;C++;Java;JavaScript;TypeScript,,,2022
25-34 years old,Man,Straight / Heterosexual,European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",Germany,"Independent contractor, freelancer, or self-employed","Developer, front-end;Developer, full-stack",European Euro,EUR,9000.0,Monthly,115176.0,15,9,macOS,Redis,Cloud Firestore;Redis,Next.js;React.js,Angular.js;Next.js;React.js,HTML/CSS;Rust;TypeScript,HTML/CSS;JavaScript;Rust;TypeScript,,Firebase,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,Mexico,"Employed, full-time;Independent contractor, freelancer, or self-employed","Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Senior Executive (C-Suite, VP, etc.)",United States dollar,USD,485000.0,Yearly,485000.0,14,14,Linux-based,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,FastAPI;React.js,Django;FastAPI;React.js,Clojure,Bash/Shell;Clojure;HTML/CSS;Python;Rust;TypeScript,DigitalOcean,DigitalOcean;Google Cloud,2022
25-34 years old,Man,Prefer to self-describe:,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,UK,"Employed, full-time","Developer, full-stack",Pound sterling,GBP,,Monthly,,12,6,macOS,PostgreSQL,MongoDB;PostgreSQL,ASP.NET;ASP.NET Core ;Blazor;Vue.js,Angular;ASP.NET;ASP.NET Core ;Blazor;Gatsby;Laravel;Next.js;Node.js;React.js;Ruby on Rails;Vue.js,Dart;F#;Kotlin;LISP;OCaml,C#;Clojure;Dart;F#;HTML/CSS;Java;JavaScript;Kotlin;LISP;Lua;OCaml;PHP;Ruby;SQL,DigitalOcean,DigitalOcean,2022
25-34 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,USA,"Employed, full-time",Other (please specify):,United States dollar,USD,102000.0,Yearly,102000.0,8,4,Windows;Windows Subsystem for Linux (WSL),,,,,Bash/Shell;C++;Python;Rust,Bash/Shell;C++;MATLAB;Python,,,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Product manager",United States dollar,USD,400000.0,Yearly,400000.0,13,8,Linux-based;macOS,,,Angular,Angular,HTML/CSS;JavaScript;Kotlin;TypeScript,Dart;Go;HTML/CSS;Java;JavaScript;TypeScript,Firebase;Google Cloud,Firebase;Google Cloud,2022
